,0.008726535364985466,0.026176949962973595,0.04361938685178757,0.061048541218042374,0.07845909893512726,0.09584575146436691,0.11320321261882782,0.13052619993686676,0.14780940115451813,0.16504760086536407,0.18223552405834198,0.1993679255247116,0.2164396196603775,0.23344536125659943,0.2503800094127655,0.2672383785247803,0.28401535749435425,0.30070579051971436,0.3173046410083771,0.3338068723678589,0.3502073884010315,0.36650121212005615,0.3826834559440613,0.39874908328056335,0.4146932363510132,0.43051108717918396,0.4461978077888489,0.4617486000061035,0.4771587550640106,0.49242356419563293,0.507538378238678,0.5224985480308533,0.537299633026123,0.5519369840621948,0.56640625,0.5807029604911804,0.5948227643966675,0.6087614297866821,0.6225146651268005,0.6360781788825989,0.649448037147522,0.6626200675964355,0.6755901575088501,0.6883545517921448,0.7009092569351196,0.713250458240509,0.7253743410110474,0.7372773289680481,0.7489557266235352,0.760405957698822,0.7716245651245117,0.782608151435852,0.7933533191680908,0.8038569092750549,0.8141155242919922,0.8241261839866638,0.8338858485221863,0.843391478061676,0.8526401519775391,0.8616291284561157,0.8703556656837463,0.878817081451416,0.8870108127593994,0.894934356212616,0.9025852680206299,0.9099612236022949,0.9170600771903992,0.9238795042037964,0.9304175972938538,0.9366722106933594,0.9426414370536804,0.948323667049408,0.9537169337272644,0.9588197469711304,0.9636304378509521,0.9681476354598999,0.972369909286499,0.9762960076332092,0.9799246788024902,0.9832549095153809,0.9862856268882751,0.9890158772468567,0.9914448261260986,0.9935718774795532,0.9953961968421936,0.9969173073768616,0.9981347918510437,0.9990482330322266,0.9996573328971863,0.9999619126319885
1904,25.687958754433527,25.803949530919393,25.901956431070964,25.997708977593316,25.98313095304701,26.013698278533088,26.072575171788532,26.107942843437193,,,,,,,,,,,,,,24.524175662464565,24.128735881381566,23.666809905899896,23.28825973139869,22.87110120455424,22.397783308558992,21.57736837466558,20.40746394958761,19.527251127941742,18.65006256463627,17.98611148082548,17.20223323793875,16.2259551435709,15.36805458035734,14.495926527374992,14.221930876001716,13.693194680247043,12.973730049365097,12.329006021552615,11.630809413724476,10.65137950550351,9.684645062571185,8.899370594571034,,,6.21874026964522,5.268822547896868,4.458820701721642,3.7442012892363388,3.158160439860593,2.676650980177025,2.294900370347831,2.0082157322334955,1.6586354337839617,1.2611532429647114,,,,,,,,,,,,,,,,,,,,,,,-15.155032984767523,-15.73760121398502,-16.298447053962285,-16.515798121028475,-16.80955641799503,-17.152184139357672,-17.824646276897855,-18.523124551773073,-19.042073912090725,-19.31472020149231,-19.48234609497918,-19.566233762105306
1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.694009149902396,16.896863366849722,15.926077415876918,15.084279382311635,14.240317043055418,13.996684655381573,13.501458026468754,12.810046186463701,12.196654230190648,11.530116858416134,10.575326713754071,9.622119463069572,8.875270432544252,,,6.3608919863485625,5.456255104232373,4.71175570181157,4.052520657941285,3.5191995682298307,3.072952942056064,2.718559685566773,2.4435168959769524,2.0925634484233644,1.684859255846176,1.2025819910069306,,,,,,,,-5.87895207288675,,-7.472619396111824,-8.454650218634763,,,,,,,,-13.26354205322245,-13.984441022160981,-14.691656063159462,-15.539510747904165,-16.14316636721293,-16.740373277664183,-16.978795467482673,-17.281176421377396,-17.631885340478686,-18.318107488420274,-19.035096332761977,-19.56929766337077,-19.85337766541375,-20.033126232359145,-20.12904643482632
1906,,,,,,,,,,,,,,,,,,,,,,,,,,,22.50921802520752,21.664375546243456,20.47496623231305,19.574030050800907,18.672359887427753,17.99554849203883,17.217533782786795,16.25880339741707,15.43144557768893,14.597316400686072,14.368839237481977,13.888027352591356,13.213113810122014,12.603618761690127,11.930440392759111,10.968637894963225,10.007365612535635,9.251408900651667,,,6.705618317293314,5.782732953483032,5.016379919793043,4.326202459157341,3.751976746343361,3.267237298700234,2.8727431536134747,2.548842828233157,2.1542135204369615,1.705689301711714,1.1965135105083593,,,,,,,,-5.913335152963797,-6.640831335478773,-7.479114966787812,-8.474388977512717,,,,,,,,-13.324359305451313,-13.977198742542209,-14.607341476467749,-15.353527289463415,-15.870784807205201,-16.394777711232503,-16.57808214293586,-16.85013501379225,-17.17340976132287,-17.830037694507176,-18.52212323612637,-19.037768104341296,-19.31181854671902,-19.495391167534724,-19.596814314524334
1907,,,,,,,,,,,,,,,,,,,,,24.84696470896403,24.544773019684687,24.127418581644694,23.647672531339857,23.267176251941258,22.83818482293023,22.358973632918463,21.531786955727473,20.351920608348316,19.457985579719146,18.566071039572773,17.90341484105318,17.130041052318283,16.17472708887524,15.34272322632476,14.506069944343633,14.267331041644017,13.775745293498039,13.090517205827766,12.474177359810305,11.79098602367772,10.822356040030717,9.854313166336054,9.062892969573538,,,6.342740257498291,5.344792763103679,4.503703084256914,3.750735941187789,3.1200543695543375,2.5904601433831784,2.1622950065829274,1.8191129399567014,1.3960598870439247,0.9323449161240003,,,,,,,,,,,,,,,,,,,,,,,-15.141815172632535,-15.611135779486762,-16.09266039530436,-16.245656869146558,-16.478067265616524,-16.763321900367735,-17.3823584900962,-18.033348449071248,-18.515905629263983,-18.76598245302836,-18.924331601460775,-19.00418775346544
1908,,,,,,,,,,,,,,,26.015559922324286,25.940014049741958,25.799486080805462,25.612324725257025,25.431350252363416,25.095984917216832,24.86974204381307,24.584483620855544,24.18354806635115,23.72168568770091,23.348216292593214,22.929383966657852,22.452861653433906,21.624512725406223,20.44123799668418,19.54288834200965,18.640170350505247,17.95802954696119,17.166339697026544,16.19151848256588,15.342608559131623,14.482524630510145,14.224987561048733,13.725933082350013,13.033102924707864,12.402119206719929,11.704761538240644,10.730282718936602,9.757941997837689,8.981440699514415,,,6.325347699799265,5.335844911769446,4.53666550087639,3.8183846653956506,3.2306694800810267,2.74376674608017,2.353318778694504,2.0455050458717676,1.6672941916945598,1.2350610549943264,0.7378154235064156,,,,,,,,,,,,,,,,,,,-13.37797888111737,-14.077010677879056,-14.763855124068343,-15.560782975786262,-16.123732193311056,-16.694421680768333,-16.93165146774716,-17.24673018720415,-17.598590763409934,-18.27915538681878,-18.98173171679179,-19.504428736368816,-19.78214341799418,-19.952068037456936,-20.03922965261671
1909,,,,,,,,,,,,,,,,25.91249589920044,25.775096882714166,25.593365557988484,25.41755618519253,25.083629873063828,24.860488435957166,24.57309140894148,24.170310208532545,23.707788509792753,23.33456195725335,22.917235106892058,22.446233105659484,21.625060290760466,20.450353047251703,19.563753074300216,18.67942461197575,18.00674721619321,17.226337850011056,16.262034848332405,15.422645057489474,14.570348587611484,14.324141549898519,13.823414387085682,13.124227178013987,12.50038800769382,11.818094372252624,10.838624435249303,9.860317166949,9.076724391761754,,,6.392637236385296,5.430954352041914,4.625635902811256,3.893961961968388,3.30039502001471,2.8048404314982083,2.401058054674003,2.07790723615326,1.6900575971593046,1.2488937402273426,0.737228291748195,,,,,,,,,,,-9.029256484554045,,,,,,,,,,,-15.99375222210462,-16.56122902499305,-17.12200610637665,-17.33802593284183,-17.629946727222865,-17.968549309836494,-18.63675422668457,-19.327293729782106,-19.837027751074896,-20.09947970178392,-20.27114938100179,-20.363251585430568
1910,,,,,,,,,,,26.23486147456699,26.2514501730601,26.220123974482217,26.132642030715942,25.95584641562568,25.87368975215488,25.725960858662923,25.532890939712523,25.348522684309216,24.99845877753364,24.75782103538513,24.456676377190483,24.039699562390645,23.566659932666354,23.182313378651937,22.747213570276895,22.258417405022517,21.425259239143795,20.240055041511855,19.34660255379147,18.455941400790795,17.796322063253157,17.031078577372764,16.081484859188397,15.264954610313806,14.44515456383427,14.228822762767473,13.761895118653774,13.10454321006934,12.517132267148959,11.869172090623113,10.918228404927586,9.972938891376058,9.213290192186832,,,6.630165190063417,5.698280834944712,4.931778116037862,4.2360151315470125,3.6625263317074213,3.194028541052507,2.8156627683072455,2.507128735911101,2.1197587327446348,1.666017222828749,1.136912937126019,,,,,,,,,,,-8.996901860491683,,,,,,,,,-14.518418751187466,-15.187868397982998,-16.012644246924253,-16.617693659994337,-17.1881142616272,-17.3981558031506,-17.675980292426214,-18.004342489772373,-18.668781428866914,-19.36252802742852,-19.881315745247736,-20.160806491639878,-20.338689676920573,-20.434013181262547
1911,,,,,,,,,,,,,,,,,25.72903717358907,25.539784643385147,25.36400906774733,25.027323126792908,24.7981005191803,24.517906427383423,24.11989741590288,23.650856614112854,23.26927089691162,22.848544544643826,22.37444287141164,21.545754086971282,20.36345420314206,19.46576016181045,18.57431668386691,17.898538147290754,17.114573760247893,16.15707261694802,15.330032214522362,14.5022901047849,14.269501411914826,13.78747695447463,13.106896342254347,12.48358921971586,11.794623704254628,10.832934390380979,9.865783366726504,9.088703656817476,,,6.417059779725969,5.456215168784062,4.672478972841054,3.966230830129239,3.385427032109712,2.917288699050227,2.5421397215272816,2.2225664627777104,1.8104561742395162,1.358665146744008,0.8476922178417833,,,,,,,,,,,-8.623908672367946,,,,,,,,,,,-15.148554031136964,-15.696150031354692,-16.23480063147015,-16.423305786980524,-16.690380255381267,-17.01236525906457,-17.66703675058153,-18.35445147090488,-18.873139397303262,-19.15917066468133,-19.353684420055814,-19.465496354632908
1912,,,,,,,,,,,26.37203770743476,26.3702718840705,26.32300067477756,26.2295327451494,26.056413237253825,25.980488226148818,25.84075444539388,25.65805960761176,25.486935530768502,25.15844751993815,24.93896479871538,24.663459701008268,24.268065441979303,23.80723605685764,23.433369610044693,23.01255951722463,22.533514359262256,21.697731630007425,20.50809909866916,19.597738857153388,18.680178824067116,17.98091693090068,17.17191900677151,16.185451273951266,15.328760043593745,14.465043934455348,14.208102015571463,13.691125001468592,12.974214905500412,12.33037571878069,11.614225402888325,10.594632677899467,9.584227199904207,8.783679685162173,7.994180501441911,,6.066915038284949,5.117611430440512,4.316853797301236,3.59884059905178,3.0215407038728395,2.5460291125501198,2.1624320186467636,1.849330909188009,1.4653819519198603,1.0308555858882351,0.5243350865901448,,,,,,,,,,,-8.819053766897156,,,,,,,,,,,-15.98604709919956,-16.641120931837293,-17.257007829348247,-17.519219636917114,-17.857684760623506,-18.243175649642943,-18.957456053627862,-19.691176207860313,-20.244295650058323,-20.54817648463779,-20.730361133151582,-20.82713116539849
1913,25.999779290623135,26.092104864120483,26.167477009031508,26.241946766111585,26.21191708246867,26.228156010309856,26.272764205932617,26.289958469072978,26.319074477089774,26.29759041203393,26.328975754313998,26.32549843258328,26.270656145943537,26.163379769855077,25.976366069581772,25.88486148516337,25.729021639294096,25.52745337486267,25.336416874991524,24.98900320794847,24.749707351790533,24.44861949549781,24.03465105957455,23.563335508770415,23.190559922324287,22.77464272711012,22.30465289486779,21.48346495495902,20.30341457426548,19.408181768103937,18.51331685030212,17.841099281940195,17.06173944388413,16.10066410915719,15.28038857171519,14.45850617537896,14.238814847109218,13.751259779019488,13.063980008992884,12.445703217035366,11.75932981438107,10.792030691355468,9.832201110281877,9.062048005643819,8.31019714963105,,6.459074701963821,5.53693755846988,4.752161462894744,4.039666687418422,3.4575972001721516,2.980424837082521,2.5948867897917,2.2734577606121698,1.8653264050785867,1.409174839883215,0.8903678944145212,,,,,,,,,,,-8.93296860570295,-9.640346617251634,,,,,,,,,-15.124172126136385,-15.930185455580553,-16.494307533899942,-17.04614381260342,-17.260104513168336,-17.539869689941405,-17.867333194944592,-18.52605464193556,-19.21787059042189,-19.732860559887357,-20.00360090467665,-20.182042752371895,-20.281012482113308
1914,26.21167742676205,26.331164741516112,26.43452162477705,26.53721245129903,26.534838310877483,26.577805505858528,26.64200075732337,26.68180549144745,26.72517702844408,26.709240611394247,26.74334439171685,26.732732592688667,26.667471085654366,26.54935320218404,26.349814822938708,26.24392907354567,26.07273505528768,25.852536132600573,25.639468903011746,25.27023550934262,25.009288422266643,24.69164542886946,24.25544758107927,23.758952858712938,23.35351795885298,22.89947874016232,22.395552224583096,21.553788782490624,20.36090848479006,19.458829369009536,18.564185725193884,17.90415375538998,17.152820957948766,16.230544033977722,15.448178609460593,14.666574709489941,14.479983340514202,,,,,,,,,,,5.8094586877928425,5.017639167903528,4.294955495951904,3.7054028648883106,3.214701322145346,2.804549574559658,2.455366527941078,2.0196850718180133,1.527579489394298,0.9746019930462353,,,,,,,,,,,-8.72903268566976,,,,,,,,,,,-15.81151227504015,-16.411859827571444,-16.994424311319985,-17.23048825263977,-17.536125972535874,-17.883846179644266,-18.565454403559368,-19.28382600678338,-19.826904408137004,-20.13132593896654,-20.33473425441318,-20.45039397875468
1915,,,,,,,26.611818822224937,26.65830982261234,26.711421993043686,26.71328313085768,26.76410394244724,26.774166446261937,26.726470491621228,26.625933440526328,26.440585894054838,26.35065557691786,26.195212750964693,25.99454599486457,25.8021658844418,25.454718385802376,25.21589592827691,24.91791387134128,24.499252888891434,24.01592322985331,23.609286938773263,23.15354430410597,22.644585604137845,21.791565889782376,20.590793480310175,19.681927996977336,18.773805341704023,18.079513047056064,17.28646887404223,16.323667381538286,15.495815908577708,14.671728246783216,14.450164345651865,,,,,,,,,,,5.8542325307925545,5.0967420485129376,4.405617163909806,3.8434447179548443,3.364416742718054,2.963604933270512,2.621865534823802,2.1970753873940945,1.7126195789780467,1.1421848208298293,,,,,,,,,,,,,,,,,,,,,,-15.84486037513448,-16.468197531170315,-17.017483025126985,-17.197145170635647,-17.455094165272182,-17.757928358183968,-18.391423326068455,-19.07221483124627,-19.567436944113837,-19.807157447603014,-19.970854716830782,-20.060617653528848
1916,,,,,,,,,26.19769951502482,26.19672430621253,26.248334005143906,26.268544546763103,26.227223698298136,26.131095292833116,25.953964535395304,25.874558284547593,25.737603643205432,25.5526481628418,25.374192709392972,25.043886841668023,24.819341982735526,24.535616437594097,24.139711123042638,23.689139291975234,23.330656260914274,22.9129893011517,22.444363882806567,21.634713429874843,20.474889494313135,19.60858556661341,18.735998663575284,18.0853969965544,17.32602795544598,16.380124405357574,15.562534915324715,14.734037448796961,14.499988498569776,,,,,,,,,,,5.460475714592677,4.641981974073375,3.9095012275502086,3.3148257059510797,2.8299929607245655,2.439811077149999,2.1157005779302884,1.692869965473397,1.2303931042590799,,,,,,,,,-6.293341791914362,,-7.749585408717394,,,,,,,,,,,,,-16.45746767785814,-17.061774367756314,-17.303496956825256,-17.625660218132868,-17.993697272406685,-18.691801256603664,-19.413452943166096,-19.951455773247613,-20.236717791027495,-20.428234995736016,-20.53974328570896
1917,,,,,,,25.923925476604037,25.961488162146676,26.01092119746738,26.014081671502854,26.068434182802836,26.093702618281046,26.056706195407443,25.965963644451566,25.79570655822754,25.717534849378797,25.56975466410319,25.377764897876315,25.187325721316867,24.849594510926142,24.61917337046729,24.319686116112603,23.912396928999158,23.456823452313742,23.102170231607225,22.690759134292602,22.23092652691735,21.43182874917984,20.28913697434796,19.43850103662246,18.58212002871765,17.95731795774514,17.217891243555478,16.29841504726145,15.495677933345238,14.679098355076793,14.462676944832006,,,,,,,,,,,5.535906396930416,4.709170395094487,3.9764712436745566,3.369109527505417,2.8771143201531637,2.4831363547231176,2.158167555220684,1.7510444915400714,1.3128671686630695,,,,,,,,,,,,-9.073020567289657,,,,,,,,,,,,-17.31859516700109,-17.932799037297567,-18.182255906528898,-18.50534803337521,-18.86616375711229,-19.55247367752923,-20.26413311958313,-20.78881793551975,-21.054039499494763,-21.22665367656284,-21.318102025985716
1918,,,,,,,,,,,,26.35510097079807,26.312760257720946,26.220572413338555,26.044211774402193,25.965162595113117,25.824717638227675,25.634688727060954,25.44719584253099,25.102479796939427,24.8687287012736,24.573591862784493,24.1662902964486,23.698114201757644,23.32834182050493,22.906940507888795,22.433886811468337,21.607247857252755,20.432196679049067,19.5435669493758,18.65361644493209,17.98190116804714,17.19629774466157,16.227059104541937,15.382863935497072,14.54230626021098,14.300864098469416,,,,,,,,,,,5.740705187784301,4.957667581392969,4.245668415528619,3.6530798660901684,3.155782903260034,2.747204193131377,2.39486083417303,1.9510908839887835,1.4685180078299405,,,,,,,,,-6.835267450267242,,-8.478146937096284,,,,,,,,,,,,,-17.051841586165956,-17.593323596318562,-17.77287130885654,-18.017088553640576,-18.310581821865505,-18.935577620400323,-19.595090060763887,-20.082567527559068,-20.332739109463162,-20.492010413275825,-20.574158408906726
1919,,,,,,,26.274819238980612,26.31108050081465,26.361376100116306,26.366512521107992,26.4263106558058,26.451499462127686,26.425468169318304,26.347754510243735,26.182804939481947,26.10871785481771,25.9680965423584,25.778524197472468,25.594382747014365,25.24867151313358,25.009432797961765,24.711663280593026,24.2932392305798,23.814323223961726,23.424780011177063,22.98873341878255,22.501923701498242,21.67395896381802,20.49632571339607,19.607656498248172,18.72375110718939,18.055943290144207,17.27816901830633,16.31488507754273,15.483646430820226,14.646991783690948,14.408183892650737,,,,,,,,,,,5.604508432505342,4.780700877691722,4.024977259982067,3.386313305361869,2.8385884693927235,2.3889455813117415,2.0210667366433577,1.575220915571683,1.0785888207248515,0.5174748259958708,0.04427310469456845,,,,,-4.765647658115873,-5.6825868313304255,-6.652382135153231,-7.312026735208929,-8.095416727662087,-9.027076371117598,,,,,,,,,,,,-15.966703471872542,-16.484848290019563,-16.653249441252814,-16.90288144747416,-17.202806425094604,-17.835680124494765,-18.511975638071696,-19.014660114712186,-19.277097945743137,-19.43714712460836,-19.51642827457852
1920,,,,,,,26.287125409973992,26.320286406411064,26.362961588965522,26.3538680712382,26.39747258822123,26.403080871370104,26.360111014048258,26.26504805882772,26.082534477445815,25.994974173439875,25.85023324224684,25.658976538976034,25.47106975979275,25.119885375764635,24.87783146964179,24.576763304074607,24.156151729159884,23.680796832508513,23.303877011934915,22.881612621413336,22.40262173016866,21.576470149887932,20.40124992330869,19.516001312476064,18.627867247247032,17.975659015195237,17.21583375169171,16.275987198617724,15.465951709366507,14.646300091511673,14.425482860124774,,,,,,,,,,,5.723084781846652,4.9565129454972014,4.260530671130659,3.688615134265274,3.209139042813331,2.8197004249785094,2.5015573034994305,2.098624484013352,1.6339898365342782,1.1075500810505925,0.635288681334997,,,,,-4.1540670440894445,-5.052962592823638,-5.994291290019949,-6.672696179146361,-7.467053284454677,-8.4256872081754,,,,,,,,,,,,-15.638432958390977,-16.17419944074419,-16.367012741830614,-16.629532975620695,-16.934476783540514,-17.56672061814202,-18.226468133926392,-18.715695259306166,-18.969899257024128,-19.126265160242717,-19.202613883548313
1921,26.054527401924133,26.16562731001112,26.262469437387253,26.356068155500623,26.34125477472941,26.367886079682243,26.4285754998525,26.46135430071089,26.50349997414483,26.4935359954834,26.53194414774577,26.530629698435465,26.475775310728284,26.365097602208454,26.169731458028156,26.0654322942098,25.89785817464193,25.691527451409232,25.496912675433688,25.149913546774123,24.91400254567464,24.625282552507187,24.229544260766772,23.773724259270562,23.42105360031128,23.01836088763343,22.560655162069533,21.749886306126914,20.59055313948128,19.727579251123178,18.867774291543498,18.22407194268372,17.467698352121644,16.532108482718467,15.72469068194429,14.912323428193728,14.70672431178391,14.253863507892108,13.599736204743385,13.004591969255772,,,,,,,,6.068143504588968,5.275067741801548,4.547801378027846,3.9486229702280577,3.4520349433490387,3.046324225039118,2.718576267829889,2.3104518657576087,1.843906858149502,1.306615696888831,0.8295514667251458,0.36972298664040865,,-1.7482743595830268,,-3.940396939073172,-4.845893343734659,-5.803941788413148,-6.503952026843197,-7.320429016266846,-8.290522664412856,,-9.561858874010957,,,,,,,,-14.454646620133685,-15.257258093553698,-15.856151198016272,-16.433717286586763,-16.659758909543356,-16.955311936802335,-17.301343708568147,-17.978498925103082,-18.68141010072496,-19.20656925837199,-19.48710694313049,-19.66220655971103,-19.753320699267917
1922,25.90873267650604,26.02683844036526,26.131686825222438,26.23538508945041,26.23365814420912,26.287333673901028,26.3616562128067,26.40624087386661,26.455644671122233,26.45005334218343,26.495813851886325,26.50107200410631,26.451768753263686,26.34708376990424,26.164703199598524,26.07715287738376,25.923386436038548,25.728081607818602,25.5419372982449,25.199417803022598,24.967701737085978,24.677490276760526,24.274831310908,23.81281460126241,23.44602777428097,23.037007342444525,22.574630811479356,21.764777522616917,20.603547919458812,19.73507980461129,18.879298560404116,18.239603010647826,17.485780653026367,16.54775174425708,15.738413236207432,14.925782745393613,14.7054768995757,14.216759147495031,13.530347527915405,12.909783190406031,12.21244666352868,11.219693320161767,10.225449912332826,9.41042639337894,,,,5.656416187559565,4.824570321969481,4.072301549858983,3.443390939146694,2.922700534109026,2.493967063424902,2.145923143211338,1.7216553094538136,1.239296402182016,0.6915936457044962,0.1994998171718584,,-1.139678654392224,-2.4216571990193594,,-4.591950745914882,-5.500155177536524,-6.4652742507453596,-7.132348884248899,-7.923610017308965,-8.865383256826963,-9.541386456828977,,,,,,,,,,-15.222672700385253,-15.718528078662025,-16.22170507510503,-16.396571061346265,-16.648822455936006,-16.94028878211975,-17.561533914672005,-18.218934482998318,-18.70324903594123,-18.949545600679187,-19.10010528564453,-19.171010547214085
1923,26.061231462160745,26.16862530178494,26.259999950726826,26.349253140555486,26.3343777762519,26.375882511668735,26.439023174179926,26.469638350274828,26.501902527279324,26.477905379401314,26.505786244074503,26.495439714855618,26.43312822447883,26.31835100915697,26.122972022162543,26.022751389609443,25.865148978763155,25.669601843092178,25.492233493593005,25.154101125399272,24.92650492986043,24.643762826919556,24.244271413485208,23.783486692110696,23.410680357615153,22.99601972632938,22.52556784417894,21.706258696979948,20.533800064524016,19.650238739223116,18.766435461325777,18.098348967482647,17.320185376248425,16.36700278189447,15.541909464808285,14.714921023199956,14.493867856264114,14.022021787116925,13.333802455001408,12.71164901446965,12.035460893644228,11.075425796148677,10.114248065070974,9.358001772614402,,,6.756796553979317,5.80485012172204,5.014307138297914,4.294937774011244,3.704202432775249,3.212213594595798,2.805610300683313,2.472231978853233,2.0554203412463217,1.5792875833809377,1.0311882286604184,0.5533427116184612,0.10091586910485704,-0.7666179975701704,-2.0276619027601557,,-4.255323690548539,-5.174974323695318,-6.1325935216698175,-6.824498251339214,-7.634016658474381,-8.593867806534076,-9.29803486538844,,,,,,,,,,-15.014712075557973,-15.490718740887113,-15.984716925356123,-16.143160486221312,-16.39118942949507,-16.68775669998593,-17.314559406704372,-17.97827501296997,-18.46673361990187,-18.71440258026123,-18.861841773986818,-18.928766261206732
1924,25.993484960661995,26.098976273006862,26.191107625431485,26.282834996117487,26.270262050628663,26.314453064070808,26.393428513738844,26.439106951819525,26.492903084225127,26.49680545594957,26.55157231754727,26.57276258998447,26.53654735883077,26.44312170876397,26.26561075316535,26.182418653700086,26.0380099773407,25.848628822962443,25.665167983373006,25.32019568019443,25.087399662865533,24.79523712793986,24.386875600285002,23.916864895820616,23.53543731106652,23.12012319829729,22.65015102757348,21.836862545543248,20.665953339801895,19.782660238486198,18.898223256650898,18.23969984082117,17.467774335931367,16.511806710561117,15.681469933460985,14.839544801414013,14.599120437519417,14.099459062185552,13.390895575284958,12.74036695027931,12.027399754193095,11.04300762137605,10.05183719686336,9.237043964428207,8.453663640365832,,6.514780177827925,5.536650042109088,4.7358807592989045,4.032558221473462,3.477762942825858,3.023063793545589,2.66639203927221,2.386322258412838,2.0337879752688526,1.6440756658919984,1.184613359062415,0.7790749730723393,,-0.40869318654877135,-1.6070335930213333,,-3.72486816070353,-4.63200016680898,-5.630537980828538,-6.351267062727776,-7.196011257756295,-8.212133780059714,-8.947537736387716,,,,,,,,-13.783972884962957,-14.447638935844104,-15.238239978378017,-15.813516341315376,-16.391745875941382,-16.631718836890325,-16.946281758944192,-17.31065095530616,-18.007274646229213,-18.732503943973118,-19.27724004321628,-19.573949903912016,-19.753384669621784,-19.84509775373671
1925,26.105864956643845,26.215583287345037,26.30799938307868,26.40009683503045,26.380830770068698,26.416411601172552,26.48053585158454,26.516250411669414,26.556550576951768,26.546029414070976,26.585164096620346,26.591794814003837,26.547925678888955,26.45564408302307,26.2832321272956,26.203709999720257,26.054007217619155,25.854923460218643,25.659426662656998,25.302108926243253,25.053709967931113,24.743186526828342,24.316325208875867,23.836520671844482,23.45726480748918,23.037897226545546,22.567535887824164,21.751335442066193,20.58227366341485,19.69997932363864,18.825121793564822,18.170299402106966,17.40349279871314,16.453829580545424,15.62807698711339,14.792501138854359,14.564363693197569,14.081928117490477,13.403107914163007,12.803696017712355,12.151239382889536,11.206200539181008,10.271559078577493,9.532171956077217,8.806962524354457,,6.991842151261194,6.087789168605539,5.325391804520041,4.64063273537904,4.080666651649194,3.601360716463791,3.203498017580973,2.8646467311049086,2.440865438938555,1.9631485606078058,1.4175284188344246,0.9352508441891081,,-0.40525365146224634,-1.7027608122521392,,-4.071139258767167,-5.0713465133474935,-6.114042793980075,-6.869840321237118,-7.754716978379939,-8.76902716751081,-9.48904884936702,-10.046537498757242,,,,,,,-14.0828393207656,-14.726803201757786,-15.494810999929905,-16.024184817738004,-16.54309189187156,-16.72663377126058,-16.987468587027656,-17.302733341852825,-17.952346489164565,-18.63752769364251,-19.14888007905748,-19.4205894947052,-19.593356227874757,-19.684345091713798
1926,26.32439001136356,26.42995808389452,26.519655066066317,26.611872344546846,26.598837916056315,26.636360359191894,26.70150680012173,26.748171909650168,26.807250669267443,26.813435215420192,26.873710065417818,26.89479568799337,26.861760282516478,26.77423406706916,26.599676662021214,26.515711249245538,26.369034677081636,26.177034611172147,25.990190002653335,25.638589458995394,25.394975752300688,25.08750931951735,24.657008446587458,24.170134936438668,23.774201655387877,23.330232694413926,22.831934611002605,21.978967838817173,20.771673511134253,19.841441076290277,18.905378483980893,18.191753824883037,17.375695114375816,16.382586897412935,15.523066050849026,14.669130137024654,14.427502455231217,13.937537557300594,13.250976035205854,12.641129442180196,11.980757257507907,11.03754551158183,10.097809239932232,9.35981416006883,8.639470927748416,7.810136771740185,6.840286876933856,5.937281887657527,5.1646957601834504,4.466171551309526,3.8874249748782153,3.408526649000123,3.02498765546932,2.7137617753126606,2.317430205663873,1.8867233007163224,1.3936972745474325,0.9621668380820968,,,,,-3.703760312637314,-4.635672677567022,-5.62504675672907,-6.3386519971303645,-7.170921565923426,-8.164746445748541,-8.880331147516456,-9.435891666884224,,,,,,,-13.75220512209667,-14.441280115644137,-15.27499649375677,-15.89091339243783,-16.494795004526775,-16.753316370646157,-17.09483626153734,-17.488320202297636,-18.211470545662774,-18.94747763739692,-19.49409006436666,-19.78161057366265,-19.952419577704536,-20.037410264545017
1927,26.097578639454312,26.21721517774794,26.32431134912703,26.43137026892768,26.431617233488296,26.476660182740954,26.555641616715324,26.607139473491245,26.667512798309325,26.678427584966023,26.740104712380305,26.76266116566128,26.720931217405532,26.624277289708456,26.44192322625054,26.354685974121093,26.20293714735243,26.006758832931517,25.817485067579483,25.466859912872316,25.225235790676543,24.9174486902025,24.489066871007285,24.00609054830339,23.62480265299479,23.20826921463013,22.740557638804116,21.929455183611974,20.7675253096554,19.891086243037716,19.008820219689774,18.341627659959098,17.553378533985878,16.576212625371085,15.723058845889238,14.862445207757668,14.605678724083635,14.097914055103644,13.39615068419112,12.775095538836386,12.101529137293499,11.137536692453756,10.172734037517673,9.402862228096152,8.652612196488512,,6.760834697716766,5.791875033380671,4.970114404459794,4.23602508137313,3.626842198945168,3.122892612957987,2.720934842946008,2.403367399274268,2.01481580344779,1.5800462887441324,1.0754996634554117,0.615311231285644,,,,,,,-6.107431959215965,-6.809724883486827,-7.614611653342015,-8.579880941162507,-9.270052998771684,-9.80104236378231,,,,,,-13.35351553460997,-14.05694672419793,-14.746345922930374,-15.586101260367368,-16.174396018187206,-16.731576503647698,-16.93550545109643,-17.21250423060523,-17.536297472318015,-18.189362541834512,-18.87390139367845,-19.38136313756307,-19.643769232432046,-19.805130163828533,-19.883963701460097
